frame,time,mode,selected_model,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,speed_mps,model_pos_x,model_pos_y,model_pos_z
1,0.05,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.5314000844955444,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5461000204086304
2,0.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.5167001485824585,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5314000844955444
3,0.15000000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.5020002126693726,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5167001485824585
4,0.2,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.4873002767562866,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5020002126693726
5,0.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.4726003408432007,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.4873002767562866
6,0.30000000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.45790040493011475,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.4726003408432007
7,0.35000000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.4432004690170288,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.45790040493011475
8,0.4,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.42850053310394287,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.4432004690170288
9,0.45,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.41380059719085693,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.42850053310394287
10,0.5,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.3991006910800934,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.41380059719085693
11,0.55,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.38440075516700745,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.3991006910800934
12,0.6000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.3697008192539215,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.38440075516700745
13,0.65,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.35500088334083557,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.3697008192539215
14,0.7000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.34030094742774963,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.35500088334083557
15,0.75,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.3256010115146637,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.34030094742774963
16,0.8,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.31090107560157776,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.3256010115146637
17,0.8500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.2962011396884918,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.31090107560157776
18,0.9,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.2815012037754059,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.2962011396884918
19,0.9500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.26680126786231995,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.2815012037754059
20,1.0,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.252101331949234,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.26680126786231995
21,1.05,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.23740138113498688,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.252101331949234
22,1.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.22270141541957855,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.23740138113498688
23,1.1500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.20800143480300903,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.22270141541957855
24,1.2000000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.1933014690876007,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.20800143480300903
25,1.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.1786014884710312,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.1933014690876007
26,1.3,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.16390152275562286,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.1786014884710312
27,1.35,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.14920154213905334,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.16390152275562286
28,1.4000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.13450156152248383,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.14920154213905334
29,1.4500000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.1198015958070755,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.13450156152248383
30,1.5,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.10510162264108658,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.1198015958070755
31,1.55,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.09040164947509766,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.10510162264108658
32,1.6,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.07570167630910873,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.09040164947509766
33,1.6500000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.06924224644899368,0.15919795632362366,0.1960710883950226,-64.64484405517578,24.471010208129883,0.07570167630910873
34,1.7000000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.06326236575841904,0.15919795632362366,0.17995887995201765,-64.64484405517578,24.471010208129883,0.06924224644899368
35,1.75,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.05781535804271698,0.15919795632362366,0.16396020352864865,-64.64484405517578,24.471010208129883,0.06326236575841904
36,1.8,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.0528515987098217,0.15919795632362366,0.1494113951922969,-64.64484405517578,24.471010208129883,0.05781535804271698
37,1.85,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.04832832142710686,0.15919795632362366,0.1361525356770496,-64.64484405517578,24.471010208129883,0.0528515987098217
38,1.9000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.04420642927289009,0.15919795632362366,0.12407204508783562,-64.64484405517578,24.471010208129883,0.04832832142710686
39,1.9500000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.0404503233730793,0.15919795632362366,0.11306096613451802,-64.64484405517578,24.471010208129883,0.04420642927289009
40,2.0,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.037027548998594284,0.15919795632362366,0.10302893072371813,-64.64484405517578,24.471010208129883,0.0404503233730793
41,2.0500000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.03390846028923988,0.15919795632362366,0.09388574212795865,-64.64484405517578,24.471010208129883,0.037027548998594284
42,2.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.03106616996228695,0.15919795632362366,0.0855558887131758,-64.64484405517578,24.471010208129883,0.03390846028923988
43,2.15,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.028476141393184662,0.15919795632362366,0.07796243578364095,-64.64484405517578,24.471010208129883,0.03106616996228695
44,2.2,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.02611587382853031,0.15919795632362366,0.07104524225189819,-64.64484405517578,24.471010208129883,0.028476141393184662
45,2.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.023965071886777878,0.15919795632362366,0.06474032253062148,-64.64484405517578,24.471010208129883,0.02611587382853031
46,2.3000000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.02200515754520893,0.15919795632362366,0.05899579078021932,-64.64484405517578,24.471010208129883,0.023965071886777878
47,2.35,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.020219115540385246,0.15919795632362366,0.05376101285220368,-64.64484405517578,24.471010208129883,0.02200515754520893
48,2.4000000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.01859157532453537,0.15919795632362366,0.04898946732480724,-64.64484405517578,24.471010208129883,0.020219115540385246
49,2.45,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.01710842177271843,0.15919795632362366,0.04464231431500219,-64.64484405517578,24.471010208129883,0.01859157532453537
50,2.5,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.01575694978237152,0.15919795632362366,0.04068206623230449,-64.64484405517578,24.471010208129883,0.01710842177271843
51,2.5500000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.014525375328958035,0.15919795632362366,0.037070635706207354,-64.64484405517578,24.471010208129883,0.01575694978237152
52,2.6,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.013403091579675674,0.15919795632362366,0.033780813218256774,-64.64484405517578,24.471010208129883,0.014525375328958035
53,2.6500000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.012380370870232582,0.15919795632362366,0.03078447841108866,-64.64484405517578,24.471010208129883,0.013403091579675674
54,2.7,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.01144844014197588,0.15919795632362366,0.028052972629669992,-64.64484405517578,24.471010208129883,0.012380370870232582
55,2.75,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.010599212720990181,0.15919795632362366,0.025563172996044308,-64.64484405517578,24.471010208129883,0.01144844014197588
56,2.8000000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.00982536282390356,0.15919795632362366,0.023295253515276223,-64.64484405517578,24.471010208129883,0.010599212720990181
57,2.85,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.009120102040469646,0.15919795632362366,0.021227311342984428,-64.64484405517578,24.471010208129883,0.00982536282390356
58,2.9000000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.008477478288114071,0.15919795632362366,0.019344158470654634,-64.64484405517578,24.471010208129883,0.009120102040469646
59,2.95,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.007891884073615074,0.15919795632362366,0.017627019435273644,-64.64484405517578,24.471010208129883,0.008477478288114071
60,3.0,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.007358245551586151,0.15919795632362366,0.0160630326718296,-64.64484405517578,24.471010208129883,0.007891884073615074
61,3.0500000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.006871986202895641,0.15919795632362366,0.014638280496023125,-64.64484405517578,24.471010208129883,0.007358245551586151
62,3.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.00642879493534565,0.15919795632362366,0.013338755816249815,-64.64484405517578,24.471010208129883,0.006871986202895641
63,3.1500000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.006025008857250214,0.15919795632362366,0.012155341915831449,-64.64484405517578,24.471010208129883,0.00642879493534565
64,3.2,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.005657005123794079,0.15919795632362366,0.011077298782776206,-64.64484405517578,24.471010208129883,0.006025008857250214
65,3.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.005321731325238943,0.15919795632362366,0.010094108060002957,-64.64484405517578,24.471010208129883,0.005657005123794079
66,3.3000000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.005016135983169079,0.15919795632362366,0.00919752102347585,-64.64484405517578,24.471010208129883,0.005321731325238943
67,3.35,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.004737624898552895,0.15919795632362366,0.008381481282413061,-64.64484405517578,24.471010208129883,0.005016135983169079
